project, method, run, precision
google-auto-common, orig, 0, 78.7
google-auto-common, orig, 1, 79.9
google-auto-common, orig, 2, 79.1
google-auto-common, orig, 3, 77.2
google-auto-common, orig, 4, 79.5
google-auto-common, orig, 5, 79.4
google-auto-common, orig, 6, 79.3
google-auto-common, orig, 7, 78.1
google-auto-common, orig, 8, 79.0
google-auto-common, orig, 9, 78.5
google-auto-common, orig, 10, 79.2
google-auto-common, orig, 11, 77.4
google-auto-common, orig, 12, 78.0
google-auto-common, orig, 13, 79.0
google-auto-common, orig, 14, 78.6
google-auto-common, orig, 15, 78.8
google-auto-common, orig, 16, 79.1
google-auto-common, orig, 17, 79.0
google-auto-common, orig, 18, 77.4
google-auto-common, orig, 19, 78.4
google-auto-common, orig, 20, 79.0
google-auto-common, orig, 21, 79.1
google-auto-common, orig, 22, 77.1
google-auto-common, orig, 23, 78.9
google-auto-common, orig, 24, 78.1
google-auto-common, orig, 25, 77.5
google-auto-common, orig, 26, 78.8
google-auto-common, orig, 27, 78.9
google-auto-common, orig, 28, 78.8
google-auto-common, orig, 29, 78.4
google-auto-common, cs, 0, 77.7
google-auto-common, pp, 0, 78.9
google-auto-common, pp, 1, 77.8
google-auto-common, pp, 2, 78.9
google-auto-common, pp, 3, 77.3
google-auto-common, pp, 4, 77.7
google-auto-common, pp, 5, 78.8
google-auto-common, pp, 6, 78.5
google-auto-common, pp, 7, 79.1
google-auto-common, pp, 8, 78.6
google-auto-common, pp, 9, 78.3
google-auto-common, pp, 10, 78.3
google-auto-common, pp, 11, 78.4
google-auto-common, pp, 12, 78.2
google-auto-common, pp, 13, 78.0
google-auto-common, pp, 14, 78.0
google-auto-common, pp, 15, 77.6
google-auto-common, pp, 16, 78.1
google-auto-common, pp, 17, 76.5
google-auto-common, pp, 18, 77.2
google-auto-common, pp, 19, 77.9
google-auto-common, pp, 20, 78.5
google-auto-common, pp, 21, 80.3
google-auto-common, pp, 22, 76.5
google-auto-common, pp, 23, 79.6
google-auto-common, pp, 24, 76.5
google-auto-common, pp, 25, 77.8
google-auto-common, pp, 26, 78.3
google-auto-common, pp, 27, 78.4
google-auto-common, pp, 28, 77.5
google-auto-common, pp, 29, 77.8
google-auto-common, cs+pp, 0, 75.8
scribejava-core, orig, 0, 84.4
scribejava-core, orig, 1, 84.8
scribejava-core, orig, 2, 84.8
scribejava-core, orig, 3, 84.8
scribejava-core, orig, 4, 84.9
