project, method, run, precision
google-auto-value, orig, 0, 85.7
google-auto-value, orig, 1, 84.3
google-auto-value, orig, 2, 84.4
google-auto-value, orig, 3, 85.4
google-auto-value, orig, 4, 84.8
google-auto-value, orig, 5, 85.0
google-auto-value, orig, 6, 85.9
google-auto-value, orig, 7, 85.0
google-auto-value, orig, 8, 84.3
google-auto-value, orig, 9, 85.2
google-auto-value, orig, 10, 85.5
google-auto-value, orig, 11, 84.3
google-auto-value, orig, 12, 84.9
google-auto-value, orig, 13, 85.2
google-auto-value, orig, 14, 84.8
google-auto-value, orig, 15, 85.3
google-auto-value, orig, 16, 85.3
google-auto-value, orig, 17, 84.7
google-auto-value, orig, 18, 84.6
google-auto-value, orig, 19, 85.1
google-auto-value, orig, 20, 84.5
google-auto-value, orig, 21, 85.6
google-auto-value, orig, 22, 84.8
google-auto-value, orig, 23, 85.5
google-auto-value, orig, 24, 85.2
google-auto-value, orig, 25, 84.6
google-auto-value, orig, 26, 85.3
google-auto-value, orig, 27, 85.3
google-auto-value, orig, 28, 84.9
google-auto-value, orig, 29, 84.8
google-auto-value, cs, 0, 84.0
google-auto-value, pp, 0, 85.5
google-auto-value, pp, 1, 84.9
google-auto-value, pp, 2, 85.3
google-auto-value, pp, 3, 85.1
google-auto-value, pp, 4, 85.3
google-auto-value, pp, 5, 84.3
google-auto-value, pp, 6, 85.4
google-auto-value, pp, 7, 85.0
google-auto-value, pp, 8, 85.1
google-auto-value, pp, 9, 85.9
google-auto-value, pp, 10, 84.8
google-auto-value, pp, 11, 85.6
google-auto-value, pp, 12, 84.6
google-auto-value, pp, 13, 84.3
google-auto-value, pp, 14, 84.9
google-auto-value, pp, 15, 85.4
google-auto-value, pp, 16, 84.9
google-auto-value, pp, 17, 85.1
google-auto-value, pp, 18, 85.4
google-auto-value, pp, 19, 84.5
google-auto-value, pp, 20, 84.6
google-auto-value, pp, 21, 84.7
google-auto-value, pp, 22, 84.2
google-auto-value, pp, 23, 85.7
google-auto-value, pp, 24, 86.0
google-auto-value, pp, 25, 84.8
google-auto-value, pp, 26, 84.4
google-auto-value, pp, 27, 84.9
google-auto-value, pp, 28, 84.1
google-auto-value, pp, 29, 84.2
google-auto-value, cs+pp, 0, 84.2
gson, orig, 0, 79.6
gson, orig, 1, 80.2
gson, orig, 2, 80.5
gson, orig, 3, 79.9
gson, orig, 4, 80.4
gson, orig, 5, 79.4
gson, orig, 6, 79.9
gson, orig, 7, 79.7
gson, orig, 8, 79.4
gson, orig, 9, 79.9
gson, orig, 10, 79.4
gson, orig, 11, 79.7
gson, orig, 12, 79.4
gson, orig, 13, 79.9
gson, orig, 14, 79.7
gson, orig, 15, 79.6
gson, orig, 16, 80.2
gson, orig, 17, 78.9
gson, orig, 18, 79.8
gson, orig, 19, 80.0
gson, orig, 20, 78.9
gson, orig, 21, 79.6
gson, orig, 22, 78.8
gson, orig, 23, 79.5
gson, orig, 24, 80.4
gson, orig, 25, 79.0
