project, method, run, precision
commons-text, cs, 0, 80.7
commons-text, orig, 0, 79.6
commons-text, 3-Proj, 0, 79.5
commons-text, 3D-Clus, 0, 80.4
commons-text, orig, 1, 79.5
commons-text, 3-Proj, 1, 79.9
commons-text, 3D-Clus, 1, 80.4
commons-text, orig, 2, 79.3
commons-text, 3-Proj, 2, 79.3
commons-text, 3D-Clus, 2, 80.7
commons-text, orig, 3, 79.5
commons-text, 3-Proj, 3, 78.9
commons-text, 3D-Clus, 3, 80.5
commons-text, orig, 4, 79.4
commons-text, 3-Proj, 4, 79.4
commons-text, 3D-Clus, 4, 80.9
commons-text, orig, 5, 79.5
commons-text, 3-Proj, 5, 79.3
commons-text, 3D-Clus, 5, 80.7
commons-text, orig, 6, 79.3
commons-text, 3-Proj, 6, 79.4
commons-text, 3D-Clus, 6, 80.7
commons-text, orig, 7, 79.5
commons-text, 3-Proj, 7, 79.5
commons-text, 3D-Clus, 7, 80.6
commons-text, orig, 8, 79.3
commons-text, 3-Proj, 8, 78.9
commons-text, 3D-Clus, 8, 80.8
commons-text, orig, 9, 79.6
commons-text, 3-Proj, 9, 79.3
commons-text, 3D-Clus, 9, 80.6
commons-text, orig, 10, 79.5
commons-text, 3-Proj, 10, 78.9
commons-text, 3D-Clus, 10, 80.7
commons-text, orig, 11, 79.5
commons-text, 3-Proj, 11, 79.9
commons-text, 3D-Clus, 11, 80.6
commons-text, orig, 12, 79.3
commons-text, 3-Proj, 12, 79.4
commons-text, 3D-Clus, 12, 80.3
commons-text, orig, 13, 79.5
commons-text, 3-Proj, 13, 79.4
commons-text, 3D-Clus, 13, 80.5
commons-text, orig, 14, 79.5
commons-text, 3-Proj, 14, 79.1
commons-text, 3D-Clus, 14, 80.6
commons-text, orig, 15, 79.2
commons-text, 3-Proj, 15, 79.3
commons-text, 3D-Clus, 15, 80.6
commons-text, orig, 16, 79.5
commons-text, 3-Proj, 16, 79.4
commons-text, 3D-Clus, 16, 80.5
commons-text, orig, 17, 79.7
commons-text, 3-Proj, 17, 79.2
commons-text, 3D-Clus, 17, 80.8
commons-text, orig, 18, 79.4
commons-text, 3-Proj, 18, 77.3
commons-text, 3D-Clus, 18, 80.5
commons-text, orig, 19, 79.4
commons-text, 3-Proj, 19, 79.7
commons-text, 3D-Clus, 19, 80.9
commons-text, orig, 20, 79.4
commons-text, 3-Proj, 20, 78.9
commons-text, 3D-Clus, 20, 80.6
commons-text, orig, 21, 79.2
commons-text, 3-Proj, 21, 79.6
commons-text, 3D-Clus, 21, 80.3
commons-text, orig, 22, 79.3
commons-text, 3-Proj, 22, 79.5
commons-text, 3D-Clus, 22, 81.0
commons-text, orig, 23, 79.6
commons-text, 3-Proj, 23, 79.3
commons-text, 3D-Clus, 23, 80.5
commons-text, orig, 24, 79.4
commons-text, 3-Proj, 24, 78.2
commons-text, 3D-Clus, 24, 80.7
commons-text, orig, 25, 79.2
commons-text, 3-Proj, 25, 79.4
commons-text, 3D-Clus, 25, 80.9
commons-text, orig, 26, 79.6
commons-text, 3-Proj, 26, 79.4
commons-text, 3D-Clus, 26, 80.7
commons-text, orig, 27, 79.5
commons-text, 3-Proj, 27, 79.2
commons-text, 3D-Clus, 27, 80.7
commons-text, orig, 28, 79.5
commons-text, 3-Proj, 28, 78.9
commons-text, 3D-Clus, 28, 80.7
commons-text, orig, 29, 79.2
commons-text, 3-Proj, 29, 79.4
commons-text, 3D-Clus, 29, 80.6
commons-codec, cs, 0, 68.0
commons-codec, orig, 0, 85.0
commons-codec, 3-Proj, 0, 84.8
commons-codec, 3D-Clus, 0, 87.2
commons-codec, orig, 1, 85.0
commons-codec, 3-Proj, 1, 84.7
commons-codec, 3D-Clus, 1, 87.4
commons-codec, orig, 2, 85.9
commons-codec, 3-Proj, 2, 83.1
commons-codec, 3D-Clus, 2, 87.1
commons-codec, orig, 3, 85.4
commons-codec, 3-Proj, 3, 85.1
commons-codec, 3D-Clus, 3, 87.2
commons-codec, orig, 4, 85.0
commons-codec, 3-Proj, 4, 85.1
commons-codec, 3D-Clus, 4, 87.0
commons-codec, orig, 5, 85.1
commons-codec, 3-Proj, 5, 84.8
commons-codec, 3D-Clus, 5, 87.0
commons-codec, orig, 6, 85.8
commons-codec, 3-Proj, 6, 84.9
commons-codec, 3D-Clus, 6, 87.1
commons-codec, orig, 7, 85.0
commons-codec, 3-Proj, 7, 84.9
commons-codec, 3D-Clus, 7, 87.4
commons-codec, orig, 8, 85.3
commons-codec, 3-Proj, 8, 85.5
commons-codec, 3D-Clus, 8, 87.4
commons-codec, orig, 9, 85.1
commons-codec, 3-Proj, 9, 84.9
commons-codec, 3D-Clus, 9, 87.1
commons-codec, orig, 10, 85.0
commons-codec, 3-Proj, 10, 83.2
commons-codec, 3D-Clus, 10, 87.1
commons-codec, orig, 11, 85.0
commons-codec, 3-Proj, 11, 85.1
commons-codec, 3D-Clus, 11, 87.2
