project, method, run, precision
commons-csv, cs, 0, 75.6
commons-csv, orig, 0, 85.4
commons-csv, 3-Proj, 0, 85.2
commons-csv, 3D-Clus, 0, 85.4
commons-csv, orig, 1, 85.1
commons-csv, 3-Proj, 1, 84.9
commons-csv, 3D-Clus, 1, 85.6
commons-csv, orig, 2, 85.1
commons-csv, 3-Proj, 2, 85.2
commons-csv, 3D-Clus, 2, 85.4
commons-csv, orig, 3, 85.2
commons-csv, 3-Proj, 3, 85.3
commons-csv, 3D-Clus, 3, 83.4
commons-csv, orig, 4, 85.1
commons-csv, 3-Proj, 4, 85.1
commons-csv, 3D-Clus, 4, 85.3
commons-csv, orig, 5, 85.3
commons-csv, 3-Proj, 5, 84.8
commons-csv, 3D-Clus, 5, 85.5
commons-csv, orig, 6, 85.1
commons-csv, 3-Proj, 6, 85.2
commons-csv, 3D-Clus, 6, 85.7
commons-csv, orig, 7, 85.1
commons-csv, 3-Proj, 7, 84.9
commons-csv, 3D-Clus, 7, 85.3
commons-csv, orig, 8, 85.2
commons-csv, 3-Proj, 8, 85.1
commons-csv, 3D-Clus, 8, 85.3
commons-csv, orig, 9, 84.8
commons-csv, 3-Proj, 9, 84.2
commons-csv, 3D-Clus, 9, 82.2
commons-csv, orig, 10, 85.3
commons-csv, 3-Proj, 10, 85.2
commons-csv, 3D-Clus, 10, 85.6
commons-csv, orig, 11, 85.1
commons-csv, 3-Proj, 11, 85.3
commons-csv, 3D-Clus, 11, 85.3
commons-csv, orig, 12, 85.1
commons-csv, 3-Proj, 12, 85.0
commons-csv, 3D-Clus, 12, 84.7
commons-csv, orig, 13, 85.1
commons-csv, 3-Proj, 13, 84.9
commons-csv, 3D-Clus, 13, 85.7
commons-csv, orig, 14, 85.2
commons-csv, 3-Proj, 14, 85.3
commons-csv, 3D-Clus, 14, 85.5
commons-csv, orig, 15, 85.1
commons-csv, 3-Proj, 15, 85.2
commons-csv, 3D-Clus, 15, 85.5
commons-csv, orig, 16, 85.4
commons-csv, 3-Proj, 16, 84.8
commons-csv, 3D-Clus, 16, 85.4
commons-csv, orig, 17, 85.1
commons-csv, 3-Proj, 17, 85.4
commons-csv, 3D-Clus, 17, 83.9
commons-csv, orig, 18, 85.1
commons-csv, 3-Proj, 18, 85.2
commons-csv, 3D-Clus, 18, 85.5
commons-csv, orig, 19, 85.1
commons-csv, 3-Proj, 19, 85.1
commons-csv, 3D-Clus, 19, 85.9
commons-csv, orig, 20, 84.8
commons-csv, 3-Proj, 20, 85.2
commons-csv, 3D-Clus, 20, 85.3
commons-csv, orig, 21, 85.3
commons-csv, 3-Proj, 21, 85.2
commons-csv, 3D-Clus, 21, 85.3
commons-csv, orig, 22, 82.8
commons-csv, 3-Proj, 22, 85.1
commons-csv, 3D-Clus, 22, 85.3
commons-csv, orig, 23, 85.4
commons-csv, 3-Proj, 23, 85.4
commons-csv, 3D-Clus, 23, 84.8
commons-csv, orig, 24, 85.2
commons-csv, 3-Proj, 24, 85.2
commons-csv, 3D-Clus, 24, 85.3
commons-csv, orig, 25, 85.4
commons-csv, 3-Proj, 25, 85.3
commons-csv, 3D-Clus, 25, 85.4
commons-csv, orig, 26, 85.4
commons-csv, 3-Proj, 26, 85.2
commons-csv, 3D-Clus, 26, 85.3
commons-csv, orig, 27, 85.1
commons-csv, 3-Proj, 27, 84.9
commons-csv, 3D-Clus, 27, 85.1
commons-csv, orig, 28, 85.3
commons-csv, 3-Proj, 28, 85.1
commons-csv, 3D-Clus, 28, 85.5
commons-csv, orig, 29, 85.3
commons-csv, 3-Proj, 29, 84.7
commons-csv, 3D-Clus, 29, 85.5
commons-cli, cs, 0, 76.0
commons-cli, orig, 0, 81.1
commons-cli, 3-Proj, 0, 80.5
commons-cli, 3D-Clus, 0, 81.7
commons-cli, orig, 1, 81.5
commons-cli, 3-Proj, 1, 81.4
commons-cli, 3D-Clus, 1, 81.4
commons-cli, orig, 2, 80.8
commons-cli, 3-Proj, 2, 80.0
commons-cli, 3D-Clus, 2, 81.8
commons-cli, orig, 3, 80.7
commons-cli, 3-Proj, 3, 80.6
commons-cli, 3D-Clus, 3, 81.3
commons-cli, orig, 4, 80.2
commons-cli, 3-Proj, 4, 79.1
commons-cli, 3D-Clus, 4, 81.3
commons-cli, orig, 5, 80.7
commons-cli, 3-Proj, 5, 82.3
commons-cli, 3D-Clus, 5, 82.0
commons-cli, orig, 6, 80.4
commons-cli, 3-Proj, 6, 80.9
commons-cli, 3D-Clus, 6, 80.4
commons-cli, orig, 7, 80.7
commons-cli, 3-Proj, 7, 80.7
commons-cli, 3D-Clus, 7, 81.0
commons-cli, orig, 8, 81.0
commons-cli, 3-Proj, 8, 80.8
commons-cli, 3D-Clus, 8, 81.3
commons-cli, orig, 9, 80.8
commons-cli, 3-Proj, 9, 80.5
commons-cli, 3D-Clus, 9, 82.5
commons-cli, orig, 10, 80.8
commons-cli, 3-Proj, 10, 80.8
commons-cli, 3D-Clus, 10, 81.9
commons-cli, orig, 11, 80.3
commons-cli, 3-Proj, 11, 81.5
commons-cli, 3D-Clus, 11, 81.4
commons-cli, orig, 12, 81.1
commons-cli, 3-Proj, 12, 80.8
commons-cli, 3D-Clus, 12, 82.0
commons-cli, orig, 13, 80.6
commons-cli, 3-Proj, 13, 81.8
commons-cli, 3D-Clus, 13, 81.6
commons-cli, orig, 14, 81.2
commons-cli, 3-Proj, 14, 80.3
commons-cli, 3D-Clus, 14, 81.6
commons-cli, orig, 15, 80.6
commons-cli, 3-Proj, 15, 80.5
commons-cli, 3D-Clus, 15, 81.7
commons-cli, orig, 16, 80.8
commons-cli, 3-Proj, 16, 81.2
commons-cli, 3D-Clus, 16, 82.3
commons-cli, orig, 17, 80.9
commons-cli, 3-Proj, 17, 80.5
commons-cli, 3D-Clus, 17, 81.8
commons-cli, orig, 18, 81.2
commons-cli, 3-Proj, 18, 80.4
commons-cli, 3D-Clus, 18, 81.0
commons-cli, orig, 19, 80.7
commons-cli, 3-Proj, 19, 81.2
commons-cli, 3D-Clus, 19, 81.9
commons-cli, orig, 20, 80.9
commons-cli, 3-Proj, 20, 81.1
commons-cli, 3D-Clus, 20, 80.9
commons-cli, orig, 21, 80.9
commons-cli, 3-Proj, 21, 81.0
commons-cli, 3D-Clus, 21, 82.3
commons-cli, orig, 22, 81.0
commons-cli, 3-Proj, 22, 81.4
commons-cli, 3D-Clus, 22, 81.3
commons-cli, orig, 23, 80.6
commons-cli, 3-Proj, 23, 81.3
commons-cli, 3D-Clus, 23, 82.1
commons-cli, orig, 24, 80.9
commons-cli, 3-Proj, 24, 80.6
commons-cli, 3D-Clus, 24, 82.3
commons-cli, orig, 25, 80.6
commons-cli, 3-Proj, 25, 80.4
commons-cli, 3D-Clus, 25, 81.9
commons-cli, orig, 26, 80.6
commons-cli, 3-Proj, 26, 81.0
commons-cli, 3D-Clus, 26, 81.9
commons-cli, orig, 27, 80.9
commons-cli, 3-Proj, 27, 81.5
commons-cli, 3D-Clus, 27, 81.7
commons-cli, orig, 28, 80.8
commons-cli, 3-Proj, 28, 81.4
commons-cli, 3D-Clus, 28, 81.2
