project, method, run, reduction
commons-text, cs, 0, 0.100
commons-text, orig, 0, 0.083
commons-text, 3-Proj, 0, 0.083
commons-text, 3D-Clus, 0, 0.083
commons-text, orig, 1, 0.083
commons-text, 3-Proj, 1, 0.083
commons-text, 3D-Clus, 1, 0.083
commons-text, orig, 2, 0.083
commons-text, 3-Proj, 2, 0.083
commons-text, 3D-Clus, 2, 0.083
commons-text, orig, 3, 0.083
commons-text, 3-Proj, 3, 0.083
commons-text, 3D-Clus, 3, 0.083
commons-text, orig, 4, 0.083
commons-text, 3-Proj, 4, 0.083
commons-text, 3D-Clus, 4, 0.083
commons-text, orig, 5, 0.083
commons-text, 3-Proj, 5, 0.083
commons-text, 3D-Clus, 5, 0.083
commons-text, orig, 6, 0.083
commons-text, 3-Proj, 6, 0.083
commons-text, 3D-Clus, 6, 0.083
commons-text, orig, 7, 0.083
commons-text, 3-Proj, 7, 0.083
commons-text, 3D-Clus, 7, 0.083
commons-text, orig, 8, 0.083
commons-text, 3-Proj, 8, 0.083
commons-text, 3D-Clus, 8, 0.083
commons-text, orig, 9, 0.083
commons-text, 3-Proj, 9, 0.083
commons-text, 3D-Clus, 9, 0.083
commons-text, orig, 10, 0.083
commons-text, 3-Proj, 10, 0.083
commons-text, 3D-Clus, 10, 0.083
commons-text, orig, 11, 0.083
commons-text, 3-Proj, 11, 0.083
commons-text, 3D-Clus, 11, 0.083
commons-text, orig, 12, 0.083
commons-text, 3-Proj, 12, 0.083
commons-text, 3D-Clus, 12, 0.083
commons-text, orig, 13, 0.083
commons-text, 3-Proj, 13, 0.083
commons-text, 3D-Clus, 13, 0.083
commons-text, orig, 14, 0.083
commons-text, 3-Proj, 14, 0.083
commons-text, 3D-Clus, 14, 0.083
commons-text, orig, 15, 0.083
commons-text, 3-Proj, 15, 0.083
commons-text, 3D-Clus, 15, 0.083
commons-text, orig, 16, 0.083
commons-text, 3-Proj, 16, 0.083
commons-text, 3D-Clus, 16, 0.083
commons-text, orig, 17, 0.083
commons-text, 3-Proj, 17, 0.083
