project, method, run, reduction
commons-csv, cs, 0, 0.100
commons-csv, orig, 0, 0.128
commons-csv, 3-Proj, 0, 0.128
commons-csv, 3D-Clus, 0, 0.128
commons-csv, orig, 1, 0.128
commons-csv, 3-Proj, 1, 0.128
commons-csv, 3D-Clus, 1, 0.128
commons-csv, orig, 2, 0.128
commons-csv, 3-Proj, 2, 0.128
commons-csv, 3D-Clus, 2, 0.128
commons-csv, orig, 3, 0.128
commons-csv, 3-Proj, 3, 0.128
commons-csv, 3D-Clus, 3, 0.128
commons-csv, orig, 4, 0.128
commons-csv, 3-Proj, 4, 0.128
commons-csv, 3D-Clus, 4, 0.128
commons-csv, orig, 5, 0.128
commons-csv, 3-Proj, 5, 0.128
commons-csv, 3D-Clus, 5, 0.128
commons-csv, orig, 6, 0.128
commons-csv, 3-Proj, 6, 0.128
commons-csv, 3D-Clus, 6, 0.128
commons-csv, orig, 7, 0.128
commons-csv, 3-Proj, 7, 0.128
commons-csv, 3D-Clus, 7, 0.128
commons-csv, orig, 8, 0.128
commons-csv, 3-Proj, 8, 0.128
commons-csv, 3D-Clus, 8, 0.128
commons-csv, orig, 9, 0.128
commons-csv, 3-Proj, 9, 0.128
commons-csv, 3D-Clus, 9, 0.128
commons-csv, orig, 10, 0.128
commons-csv, 3-Proj, 10, 0.128
commons-csv, 3D-Clus, 10, 0.128
commons-csv, orig, 11, 0.128
commons-csv, 3-Proj, 11, 0.128
commons-csv, 3D-Clus, 11, 0.128
commons-csv, orig, 12, 0.128
commons-csv, 3-Proj, 12, 0.128
commons-csv, 3D-Clus, 12, 0.128
commons-csv, orig, 13, 0.128
commons-csv, 3-Proj, 13, 0.128
commons-csv, 3D-Clus, 13, 0.128
commons-csv, orig, 14, 0.128
commons-csv, 3-Proj, 14, 0.128
commons-csv, 3D-Clus, 14, 0.128
commons-csv, orig, 15, 0.128
commons-csv, 3-Proj, 15, 0.128
commons-csv, 3D-Clus, 15, 0.128
commons-csv, orig, 16, 0.128
commons-csv, 3-Proj, 16, 0.128
commons-csv, 3D-Clus, 16, 0.128
commons-csv, orig, 17, 0.128
commons-csv, 3-Proj, 17, 0.128
commons-csv, 3D-Clus, 17, 0.128
commons-csv, orig, 18, 0.128
commons-csv, 3-Proj, 18, 0.128
commons-csv, 3D-Clus, 18, 0.128
commons-csv, orig, 19, 0.128
commons-csv, 3-Proj, 19, 0.128
commons-csv, 3D-Clus, 19, 0.128
commons-csv, orig, 20, 0.128
commons-csv, 3-Proj, 20, 0.128
commons-csv, 3D-Clus, 20, 0.128
commons-csv, orig, 21, 0.128
commons-csv, 3-Proj, 21, 0.128
commons-csv, 3D-Clus, 21, 0.128
commons-csv, orig, 22, 0.128
commons-csv, 3-Proj, 22, 0.128
commons-csv, 3D-Clus, 22, 0.128
commons-csv, orig, 23, 0.128
commons-csv, 3-Proj, 23, 0.128
commons-csv, 3D-Clus, 23, 0.128
commons-csv, orig, 24, 0.128
commons-csv, 3-Proj, 24, 0.128
commons-csv, 3D-Clus, 24, 0.128
commons-csv, orig, 25, 0.128
commons-csv, 3-Proj, 25, 0.128
commons-csv, 3D-Clus, 25, 0.128
commons-csv, orig, 26, 0.128
commons-csv, 3-Proj, 26, 0.128
commons-csv, 3D-Clus, 26, 0.128
commons-csv, orig, 27, 0.128
commons-csv, 3-Proj, 27, 0.128
commons-csv, 3D-Clus, 27, 0.128
commons-csv, orig, 28, 0.128
commons-csv, 3-Proj, 28, 0.128
commons-csv, 3D-Clus, 28, 0.128
commons-csv, orig, 29, 0.128
commons-csv, 3-Proj, 29, 0.128
commons-csv, 3D-Clus, 29, 0.128
commons-cli, cs, 0, 0.100
commons-cli, orig, 0, 0.185
commons-cli, 3-Proj, 0, 0.185
commons-cli, 3D-Clus, 0, 0.185
commons-cli, orig, 1, 0.185
commons-cli, 3-Proj, 1, 0.185
commons-cli, 3D-Clus, 1, 0.185
commons-cli, orig, 2, 0.185
commons-cli, 3-Proj, 2, 0.185
commons-cli, 3D-Clus, 2, 0.185
commons-cli, orig, 3, 0.185
commons-cli, 3-Proj, 3, 0.185
commons-cli, 3D-Clus, 3, 0.185
commons-cli, orig, 4, 0.185
commons-cli, 3-Proj, 4, 0.185
commons-cli, 3D-Clus, 4, 0.185
commons-cli, orig, 5, 0.185
commons-cli, 3-Proj, 5, 0.185
commons-cli, 3D-Clus, 5, 0.185
commons-cli, orig, 6, 0.185
commons-cli, 3-Proj, 6, 0.185
commons-cli, 3D-Clus, 6, 0.185
commons-cli, orig, 7, 0.185
commons-cli, 3-Proj, 7, 0.185
commons-cli, 3D-Clus, 7, 0.185
commons-cli, orig, 8, 0.185
commons-cli, 3-Proj, 8, 0.185
commons-cli, 3D-Clus, 8, 0.185
commons-cli, orig, 9, 0.185
commons-cli, 3-Proj, 9, 0.185
commons-cli, 3D-Clus, 9, 0.185
commons-cli, orig, 10, 0.185
commons-cli, 3-Proj, 10, 0.185
commons-cli, 3D-Clus, 10, 0.185
commons-cli, orig, 11, 0.185
commons-cli, 3-Proj, 11, 0.185
commons-cli, 3D-Clus, 11, 0.185
commons-cli, orig, 12, 0.185
commons-cli, 3-Proj, 12, 0.185
commons-cli, 3D-Clus, 12, 0.185
commons-cli, orig, 13, 0.185
commons-cli, 3-Proj, 13, 0.185
commons-cli, 3D-Clus, 13, 0.185
commons-cli, orig, 14, 0.185
commons-cli, 3-Proj, 14, 0.185
commons-cli, 3D-Clus, 14, 0.185
commons-cli, orig, 15, 0.185
commons-cli, 3-Proj, 15, 0.185
commons-cli, 3D-Clus, 15, 0.185
commons-cli, orig, 16, 0.185
commons-cli, 3-Proj, 16, 0.185
commons-cli, 3D-Clus, 16, 0.185
commons-cli, orig, 17, 0.185
commons-cli, 3-Proj, 17, 0.185
commons-cli, 3D-Clus, 17, 0.185
commons-cli, orig, 18, 0.185
commons-cli, 3-Proj, 18, 0.185
commons-cli, 3D-Clus, 18, 0.185
commons-cli, orig, 19, 0.185
commons-cli, 3-Proj, 19, 0.185
commons-cli, 3D-Clus, 19, 0.185
commons-cli, orig, 20, 0.185
commons-cli, 3-Proj, 20, 0.185
commons-cli, 3D-Clus, 20, 0.185
commons-cli, orig, 21, 0.185
commons-cli, 3-Proj, 21, 0.185
commons-cli, 3D-Clus, 21, 0.185
commons-cli, orig, 22, 0.185
commons-cli, 3-Proj, 22, 0.185
commons-cli, 3D-Clus, 22, 0.185
commons-cli, orig, 23, 0.185
commons-cli, 3-Proj, 23, 0.185
commons-cli, 3D-Clus, 23, 0.185
commons-cli, orig, 24, 0.185
commons-cli, 3-Proj, 24, 0.185
commons-cli, 3D-Clus, 24, 0.185
commons-cli, orig, 25, 0.185
commons-cli, 3-Proj, 25, 0.185
commons-cli, 3D-Clus, 25, 0.185
commons-cli, orig, 26, 0.185
commons-cli, 3-Proj, 26, 0.185
commons-cli, 3D-Clus, 26, 0.185
commons-cli, orig, 27, 0.185
commons-cli, 3-Proj, 27, 0.185
commons-cli, 3D-Clus, 27, 0.185
commons-cli, orig, 28, 0.185
commons-cli, 3-Proj, 28, 0.185
commons-cli, 3D-Clus, 28, 0.185
commons-cli, orig, 29, 0.185
commons-cli, 3-Proj, 29, 0.185
commons-cli, 3D-Clus, 29, 0.185
google-auto-value, cs, 0, 0.100
google-auto-value, orig, 0, 0.099
google-auto-value, 3-Proj, 0, 0.099
google-auto-value, 3D-Clus, 0, 0.099
google-auto-value, orig, 1, 0.099
google-auto-value, 3-Proj, 1, 0.099
google-auto-value, 3D-Clus, 1, 0.099
google-auto-value, orig, 2, 0.099
google-auto-value, 3-Proj, 2, 0.099
google-auto-value, 3D-Clus, 2, 0.099
google-auto-value, orig, 3, 0.099
google-auto-value, 3-Proj, 3, 0.099
google-auto-value, 3D-Clus, 3, 0.099
google-auto-value, orig, 4, 0.099
google-auto-value, 3-Proj, 4, 0.099
google-auto-value, 3D-Clus, 4, 0.099
google-auto-value, orig, 5, 0.099
google-auto-value, 3-Proj, 5, 0.099
google-auto-value, 3D-Clus, 5, 0.099
google-auto-value, orig, 6, 0.099
google-auto-value, 3-Proj, 6, 0.099
google-auto-value, 3D-Clus, 6, 0.099
google-auto-value, orig, 7, 0.099
google-auto-value, 3-Proj, 7, 0.099
google-auto-value, 3D-Clus, 7, 0.099
google-auto-value, orig, 8, 0.099
google-auto-value, 3-Proj, 8, 0.099
google-auto-value, 3D-Clus, 8, 0.099
google-auto-value, orig, 9, 0.099
google-auto-value, 3-Proj, 9, 0.099
google-auto-value, 3D-Clus, 9, 0.099
google-auto-value, orig, 10, 0.099
google-auto-value, 3-Proj, 10, 0.099
google-auto-value, 3D-Clus, 10, 0.099
google-auto-value, orig, 11, 0.099
google-auto-value, 3-Proj, 11, 0.099
google-auto-value, 3D-Clus, 11, 0.099
google-auto-value, orig, 12, 0.099
google-auto-value, 3-Proj, 12, 0.099
google-auto-value, 3D-Clus, 12, 0.099
google-auto-value, orig, 13, 0.099
google-auto-value, 3-Proj, 13, 0.099
google-auto-value, 3D-Clus, 13, 0.099
google-auto-value, orig, 14, 0.099
google-auto-value, 3-Proj, 14, 0.099
google-auto-value, 3D-Clus, 14, 0.099
google-auto-value, orig, 15, 0.099
google-auto-value, 3-Proj, 15, 0.099
google-auto-value, 3D-Clus, 15, 0.099
google-auto-value, orig, 16, 0.099
google-auto-value, 3-Proj, 16, 0.099
google-auto-value, 3D-Clus, 16, 0.099
google-auto-value, orig, 17, 0.099
google-auto-value, 3-Proj, 17, 0.099
google-auto-value, 3D-Clus, 17, 0.099
google-auto-value, orig, 18, 0.099
google-auto-value, 3-Proj, 18, 0.099
google-auto-value, 3D-Clus, 18, 0.099
google-auto-value, orig, 19, 0.099
google-auto-value, 3-Proj, 19, 0.099
google-auto-value, 3D-Clus, 19, 0.099
google-auto-value, orig, 20, 0.099
google-auto-value, 3-Proj, 20, 0.099
google-auto-value, 3D-Clus, 20, 0.099
google-auto-value, orig, 21, 0.099
google-auto-value, 3-Proj, 21, 0.099
google-auto-value, 3D-Clus, 21, 0.099
google-auto-value, orig, 22, 0.099
google-auto-value, 3-Proj, 22, 0.099
google-auto-value, 3D-Clus, 22, 0.099
google-auto-value, orig, 23, 0.099
google-auto-value, 3-Proj, 23, 0.099
google-auto-value, 3D-Clus, 23, 0.099
google-auto-value, orig, 24, 0.099
google-auto-value, 3-Proj, 24, 0.099
google-auto-value, 3D-Clus, 24, 0.099
google-auto-value, orig, 25, 0.099
google-auto-value, 3-Proj, 25, 0.099
google-auto-value, 3D-Clus, 25, 0.099
google-auto-value, orig, 26, 0.099
google-auto-value, 3-Proj, 26, 0.099
google-auto-value, 3D-Clus, 26, 0.099
google-auto-value, orig, 27, 0.099
google-auto-value, 3-Proj, 27, 0.099
google-auto-value, 3D-Clus, 27, 0.099
google-auto-value, orig, 28, 0.099
google-auto-value, 3-Proj, 28, 0.099
google-auto-value, 3D-Clus, 28, 0.099
google-auto-value, orig, 29, 0.099
google-auto-value, 3-Proj, 29, 0.099
google-auto-value, 3D-Clus, 29, 0.099
gson, cs, 0, 0.100
gson, orig, 0, 0.097
gson, 3-Proj, 0, 0.097
gson, 3D-Clus, 0, 0.096
gson, orig, 1, 0.097
gson, 3-Proj, 1, 0.097
gson, 3D-Clus, 1, 0.096
gson, orig, 2, 0.097
gson, 3-Proj, 2, 0.097
gson, 3D-Clus, 2, 0.096
gson, orig, 3, 0.097
gson, 3-Proj, 3, 0.097
gson, 3D-Clus, 3, 0.096
gson, orig, 4, 0.097
gson, 3-Proj, 4, 0.097
gson, 3D-Clus, 4, 0.096
gson, orig, 5, 0.097
gson, 3-Proj, 5, 0.097
gson, 3D-Clus, 5, 0.096
gson, orig, 6, 0.097
gson, 3-Proj, 6, 0.097
gson, 3D-Clus, 6, 0.096
gson, orig, 7, 0.097
gson, 3-Proj, 7, 0.097
gson, 3D-Clus, 7, 0.096
gson, orig, 8, 0.097
gson, 3-Proj, 8, 0.097
gson, 3D-Clus, 8, 0.096
gson, orig, 9, 0.097
gson, 3-Proj, 9, 0.097
gson, 3D-Clus, 9, 0.096
gson, orig, 10, 0.097
gson, 3-Proj, 10, 0.097
gson, 3D-Clus, 10, 0.096
gson, orig, 11, 0.097
gson, 3-Proj, 11, 0.097
gson, 3D-Clus, 11, 0.096
gson, orig, 12, 0.097
gson, 3-Proj, 12, 0.097
gson, 3D-Clus, 12, 0.096
gson, orig, 13, 0.097
gson, 3-Proj, 13, 0.097
gson, 3D-Clus, 13, 0.096
gson, orig, 14, 0.097
gson, 3-Proj, 14, 0.097
gson, 3D-Clus, 14, 0.096
gson, orig, 15, 0.097
gson, 3-Proj, 15, 0.097
gson, 3D-Clus, 15, 0.096
gson, orig, 16, 0.097
gson, 3-Proj, 16, 0.097
gson, 3D-Clus, 16, 0.096
gson, orig, 17, 0.097
gson, 3-Proj, 17, 0.097
gson, 3D-Clus, 17, 0.096
gson, orig, 18, 0.097
gson, 3-Proj, 18, 0.097
gson, 3D-Clus, 18, 0.096
gson, orig, 19, 0.097
gson, 3-Proj, 19, 0.097
gson, 3D-Clus, 19, 0.096
gson, orig, 20, 0.097
gson, 3-Proj, 20, 0.097
gson, 3D-Clus, 20, 0.096
gson, orig, 21, 0.097
gson, 3-Proj, 21, 0.097
gson, 3D-Clus, 21, 0.096
gson, orig, 22, 0.097
gson, 3-Proj, 22, 0.097
gson, 3D-Clus, 22, 0.096
gson, orig, 23, 0.097
gson, 3-Proj, 23, 0.097
gson, 3D-Clus, 23, 0.096
gson, orig, 24, 0.097
gson, 3-Proj, 24, 0.097
gson, 3D-Clus, 24, 0.096
gson, orig, 25, 0.097
gson, 3-Proj, 25, 0.097
gson, 3D-Clus, 25, 0.096
gson, orig, 26, 0.097
gson, 3-Proj, 26, 0.097
gson, 3D-Clus, 26, 0.096
gson, orig, 27, 0.097
gson, 3-Proj, 27, 0.097
gson, 3D-Clus, 27, 0.096
gson, orig, 28, 0.097
gson, 3-Proj, 28, 0.097
gson, 3D-Clus, 28, 0.096
gson, orig, 29, 0.097
gson, 3-Proj, 29, 0.097
gson, 3D-Clus, 29, 0.096
commons-io, cs, 0, 0.100
commons-io, orig, 0, 0.082
commons-io, 3-Proj, 0, 0.082
commons-io, 3D-Clus, 0, 0.082
commons-io, orig, 1, 0.082
commons-io, 3-Proj, 1, 0.082
commons-io, 3D-Clus, 1, 0.082
commons-io, orig, 2, 0.082
commons-io, 3-Proj, 2, 0.082
commons-io, 3D-Clus, 2, 0.082
commons-io, orig, 3, 0.082
commons-io, 3-Proj, 3, 0.082
commons-io, 3D-Clus, 3, 0.082
commons-io, orig, 4, 0.082
commons-io, 3-Proj, 4, 0.082
commons-io, 3D-Clus, 4, 0.082
commons-io, orig, 5, 0.082
commons-io, 3-Proj, 5, 0.082
commons-io, 3D-Clus, 5, 0.082
commons-io, orig, 6, 0.082
commons-io, 3-Proj, 6, 0.082
commons-io, 3D-Clus, 6, 0.082
commons-io, orig, 7, 0.082
commons-io, 3-Proj, 7, 0.082
commons-io, 3D-Clus, 7, 0.082
commons-io, orig, 8, 0.082
commons-io, 3-Proj, 8, 0.082
commons-io, 3D-Clus, 8, 0.082
commons-io, orig, 9, 0.082
commons-io, 3-Proj, 9, 0.082
commons-io, 3D-Clus, 9, 0.082
commons-io, orig, 10, 0.082
commons-io, 3-Proj, 10, 0.082
commons-io, 3D-Clus, 10, 0.082
commons-io, orig, 11, 0.082
commons-io, 3-Proj, 11, 0.082
commons-io, 3D-Clus, 11, 0.082
commons-io, orig, 12, 0.082
commons-io, 3-Proj, 12, 0.082
commons-io, 3D-Clus, 12, 0.082
commons-io, orig, 13, 0.082
commons-io, 3-Proj, 13, 0.082
commons-io, 3D-Clus, 13, 0.082
commons-io, orig, 14, 0.082
commons-io, 3-Proj, 14, 0.082
commons-io, 3D-Clus, 14, 0.082
commons-io, orig, 15, 0.082
commons-io, 3-Proj, 15, 0.082
commons-io, 3D-Clus, 15, 0.082
commons-io, orig, 16, 0.082
commons-io, 3-Proj, 16, 0.082
commons-io, 3D-Clus, 16, 0.082
commons-io, orig, 17, 0.082
commons-io, 3-Proj, 17, 0.082
commons-io, 3D-Clus, 17, 0.082
commons-io, orig, 18, 0.082
commons-io, 3-Proj, 18, 0.082
commons-io, 3D-Clus, 18, 0.082
commons-io, orig, 19, 0.082
commons-io, 3-Proj, 19, 0.082
commons-io, 3D-Clus, 19, 0.082
commons-io, orig, 20, 0.082
commons-io, 3-Proj, 20, 0.082
commons-io, 3D-Clus, 20, 0.082
commons-io, orig, 21, 0.082
commons-io, 3-Proj, 21, 0.082
commons-io, 3D-Clus, 21, 0.082
commons-io, orig, 22, 0.082
commons-io, 3-Proj, 22, 0.082
commons-io, 3D-Clus, 22, 0.082
commons-io, orig, 23, 0.082
commons-io, 3-Proj, 23, 0.082
commons-io, 3D-Clus, 23, 0.082
commons-io, orig, 24, 0.082
commons-io, 3-Proj, 24, 0.082
commons-io, 3D-Clus, 24, 0.082
commons-io, orig, 25, 0.082
commons-io, 3-Proj, 25, 0.082
commons-io, 3D-Clus, 25, 0.082
commons-io, orig, 26, 0.082
commons-io, 3-Proj, 26, 0.082
commons-io, 3D-Clus, 26, 0.082
commons-io, orig, 27, 0.082
commons-io, 3-Proj, 27, 0.082
commons-io, 3D-Clus, 27, 0.082
commons-io, orig, 28, 0.082
commons-io, 3-Proj, 28, 0.082
commons-io, 3D-Clus, 28, 0.082
commons-io, orig, 29, 0.082
commons-io, 3-Proj, 29, 0.082
commons-io, 3D-Clus, 29, 0.082
