project, method, run, timing
commons-text, cs, 0, 2.1
commons-text, orig, 0, 32.0
commons-text, 3-Proj, 0, 32.8
commons-text, 3D-Clus, 0, 215.7
commons-text, orig, 1, 31.9
commons-text, 3-Proj, 1, 31.9
commons-text, 3D-Clus, 1, 222.1
commons-text, orig, 2, 32.0
commons-text, 3-Proj, 2, 32.7
commons-text, 3D-Clus, 2, 190.9
commons-text, orig, 3, 32.1
commons-text, 3-Proj, 3, 31.9
commons-text, 3D-Clus, 3, 194.6
commons-text, orig, 4, 34.2
commons-text, 3-Proj, 4, 31.5
commons-text, 3D-Clus, 4, 193.6
commons-text, orig, 5, 32.8
commons-text, 3-Proj, 5, 32.0
commons-text, 3D-Clus, 5, 190.9
commons-text, orig, 6, 33.0
commons-text, 3-Proj, 6, 31.5
commons-text, 3D-Clus, 6, 191.2
commons-text, orig, 7, 33.2
commons-text, 3-Proj, 7, 31.6
commons-text, 3D-Clus, 7, 193.7
commons-text, orig, 8, 32.3
commons-text, 3-Proj, 8, 31.7
commons-text, 3D-Clus, 8, 215.0
commons-text, orig, 9, 32.3
commons-text, 3-Proj, 9, 31.6
commons-text, 3D-Clus, 9, 213.5
commons-text, orig, 10, 32.2
commons-text, 3-Proj, 10, 32.3
commons-text, 3D-Clus, 10, 206.4
commons-text, orig, 11, 32.0
commons-text, 3-Proj, 11, 31.5
commons-text, 3D-Clus, 11, 193.7
commons-text, orig, 12, 32.7
commons-text, 3-Proj, 12, 31.6
commons-text, 3D-Clus, 12, 191.2
commons-text, orig, 13, 31.8
commons-text, 3-Proj, 13, 31.5
commons-text, 3D-Clus, 13, 193.8
commons-text, orig, 14, 32.4
commons-text, 3-Proj, 14, 31.5
commons-text, 3D-Clus, 14, 210.3
commons-text, orig, 15, 32.7
commons-text, 3-Proj, 15, 31.8
commons-text, 3D-Clus, 15, 193.9
commons-text, orig, 16, 31.8
commons-text, 3-Proj, 16, 31.6
commons-text, 3D-Clus, 16, 191.9
commons-text, orig, 17, 31.8
commons-text, 3-Proj, 17, 32.0
commons-text, 3D-Clus, 17, 193.0
commons-text, orig, 18, 31.9
commons-text, 3-Proj, 18, 32.0
commons-text, 3D-Clus, 18, 193.5
commons-text, orig, 19, 32.1
commons-text, 3-Proj, 19, 32.1
commons-text, 3D-Clus, 19, 194.7
commons-text, orig, 20, 32.9
commons-text, 3-Proj, 20, 31.9
commons-text, 3D-Clus, 20, 194.6
commons-text, orig, 21, 32.0
commons-text, 3-Proj, 21, 32.3
commons-text, 3D-Clus, 21, 204.2
commons-text, orig, 22, 31.8
commons-text, 3-Proj, 22, 31.6
commons-text, 3D-Clus, 22, 205.1
commons-text, orig, 23, 31.9
commons-text, 3-Proj, 23, 32.0
commons-text, 3D-Clus, 23, 191.1
commons-text, orig, 24, 32.0
commons-text, 3-Proj, 24, 31.8
commons-text, 3D-Clus, 24, 190.9
commons-text, orig, 25, 32.1
commons-text, 3-Proj, 25, 32.4
commons-text, 3D-Clus, 25, 191.0
commons-text, orig, 26, 31.9
commons-text, 3-Proj, 26, 31.9
commons-text, 3D-Clus, 26, 191.5
commons-text, orig, 27, 32.0
commons-text, 3-Proj, 27, 32.2
commons-text, 3D-Clus, 27, 189.9
commons-text, orig, 28, 31.9
commons-text, 3-Proj, 28, 32.5
commons-text, 3D-Clus, 28, 191.0
commons-text, orig, 29, 32.0
commons-text, 3-Proj, 29, 32.1
commons-text, 3D-Clus, 29, 193.7
commons-codec, cs, 0, 2.4
commons-codec, orig, 0, 40.8
commons-codec, 3-Proj, 0, 40.4
commons-codec, 3D-Clus, 0, 292.5
commons-codec, orig, 1, 40.4
commons-codec, 3-Proj, 1, 40.6
commons-codec, 3D-Clus, 1, 281.2
commons-codec, orig, 2, 40.7
commons-codec, 3-Proj, 2, 41.1
commons-codec, 3D-Clus, 2, 254.1
commons-codec, orig, 3, 40.6
commons-codec, 3-Proj, 3, 40.7
commons-codec, 3D-Clus, 3, 256.7
commons-codec, orig, 4, 40.4
commons-codec, 3-Proj, 4, 40.3
commons-codec, 3D-Clus, 4, 253.7
commons-codec, orig, 5, 41.4
commons-codec, 3-Proj, 5, 40.6
commons-codec, 3D-Clus, 5, 255.1
commons-codec, orig, 6, 41.4
commons-codec, 3-Proj, 6, 40.2
commons-codec, 3D-Clus, 6, 255.9
commons-codec, orig, 7, 41.4
commons-codec, 3-Proj, 7, 40.5
commons-codec, 3D-Clus, 7, 256.0
commons-codec, orig, 8, 41.2
commons-codec, 3-Proj, 8, 40.6
commons-codec, 3D-Clus, 8, 268.5
commons-codec, orig, 9, 40.8
commons-codec, 3-Proj, 9, 40.3
commons-codec, 3D-Clus, 9, 268.5
commons-codec, orig, 10, 41.3
commons-codec, 3-Proj, 10, 40.8
commons-codec, 3D-Clus, 10, 285.8
commons-codec, orig, 11, 41.4
commons-codec, 3-Proj, 11, 40.5
commons-codec, 3D-Clus, 11, 256.6
commons-codec, orig, 12, 43.2
commons-codec, 3-Proj, 12, 40.3
commons-codec, 3D-Clus, 12, 256.2
commons-codec, orig, 13, 40.3
commons-codec, 3-Proj, 13, 40.4
commons-codec, 3D-Clus, 13, 256.5
commons-codec, orig, 14, 41.1
commons-codec, 3-Proj, 14, 40.2
commons-codec, 3D-Clus, 14, 288.5
commons-codec, orig, 15, 40.6
commons-codec, 3-Proj, 15, 40.3
commons-codec, 3D-Clus, 15, 256.4
commons-codec, orig, 16, 40.4
commons-codec, 3-Proj, 16, 41.3
commons-codec, 3D-Clus, 16, 352.8
commons-codec, orig, 17, 40.3
commons-codec, 3-Proj, 17, 41.3
commons-codec, 3D-Clus, 17, 351.1
commons-codec, orig, 18, 40.3
commons-codec, 3-Proj, 18, 40.4
commons-codec, 3D-Clus, 18, 293.2
commons-codec, orig, 19, 41.5
commons-codec, 3-Proj, 19, 41.2
commons-codec, 3D-Clus, 19, 366.6
commons-codec, orig, 20, 41.6
commons-codec, 3-Proj, 20, 40.8
commons-codec, 3D-Clus, 20, 317.2
commons-codec, orig, 21, 41.5
commons-codec, 3-Proj, 21, 43.6
commons-codec, 3D-Clus, 21, 273.1
commons-codec, orig, 22, 40.6
commons-codec, 3-Proj, 22, 40.3
commons-codec, 3D-Clus, 22, 281.5
commons-codec, orig, 23, 40.3
commons-codec, 3-Proj, 23, 40.8
commons-codec, 3D-Clus, 23, 288.5
commons-codec, orig, 24, 40.4
commons-codec, 3-Proj, 24, 40.9
commons-codec, 3D-Clus, 24, 339.0
commons-codec, orig, 25, 40.4
commons-codec, 3-Proj, 25, 41.1
commons-codec, 3D-Clus, 25, 329.0
commons-codec, orig, 26, 40.4
commons-codec, 3-Proj, 26, 40.9
commons-codec, 3D-Clus, 26, 329.9
commons-codec, orig, 27, 40.3
commons-codec, 3-Proj, 27, 40.9
commons-codec, 3D-Clus, 27, 334.2
commons-codec, orig, 28, 40.6
commons-codec, 3-Proj, 28, 40.7
commons-codec, 3D-Clus, 28, 341.1
commons-codec, orig, 29, 40.4
commons-codec, 3-Proj, 29, 41.0
commons-codec, 3D-Clus, 29, 276.8
google-auto-common, cs, 0, 2.4
google-auto-common, orig, 0, 0.9
google-auto-common, 3-Proj, 0, 0.8
google-auto-common, 3D-Clus, 0, 1.8
google-auto-common, orig, 1, 0.9
google-auto-common, 3-Proj, 1, 0.8
google-auto-common, 3D-Clus, 1, 1.8
google-auto-common, orig, 2, 0.9
google-auto-common, 3-Proj, 2, 0.9
