project, method, run, timing
commons-csv, cs, 0, 15.5
commons-csv, orig, 0, 1.3
commons-csv, 3-Proj, 0, 1.2
commons-csv, 3D-Clus, 0, 2.9
commons-csv, orig, 1, 1.3
commons-csv, 3-Proj, 1, 1.2
commons-csv, 3D-Clus, 1, 2.9
commons-csv, orig, 2, 1.3
commons-csv, 3-Proj, 2, 1.2
commons-csv, 3D-Clus, 2, 2.9
commons-csv, orig, 3, 1.3
commons-csv, 3-Proj, 3, 1.3
commons-csv, 3D-Clus, 3, 2.9
commons-csv, orig, 4, 1.5
commons-csv, 3-Proj, 4, 1.2
commons-csv, 3D-Clus, 4, 2.9
commons-csv, orig, 5, 1.3
commons-csv, 3-Proj, 5, 1.2
commons-csv, 3D-Clus, 5, 2.9
commons-csv, orig, 6, 1.3
commons-csv, 3-Proj, 6, 1.2
commons-csv, 3D-Clus, 6, 2.8
commons-csv, orig, 7, 1.2
commons-csv, 3-Proj, 7, 1.3
commons-csv, 3D-Clus, 7, 2.9
commons-csv, orig, 8, 1.2
commons-csv, 3-Proj, 8, 1.2
commons-csv, 3D-Clus, 8, 3.0
commons-csv, orig, 9, 1.3
commons-csv, 3-Proj, 9, 1.2
commons-csv, 3D-Clus, 9, 2.9
commons-csv, orig, 10, 1.3
commons-csv, 3-Proj, 10, 1.2
commons-csv, 3D-Clus, 10, 2.8
commons-csv, orig, 11, 1.3
commons-csv, 3-Proj, 11, 1.2
commons-csv, 3D-Clus, 11, 2.9
commons-csv, orig, 12, 1.3
commons-csv, 3-Proj, 12, 1.2
commons-csv, 3D-Clus, 12, 2.9
commons-csv, orig, 13, 1.3
commons-csv, 3-Proj, 13, 1.2
commons-csv, 3D-Clus, 13, 2.9
commons-csv, orig, 14, 1.3
commons-csv, 3-Proj, 14, 1.2
commons-csv, 3D-Clus, 14, 2.9
commons-csv, orig, 15, 1.2
commons-csv, 3-Proj, 15, 1.2
commons-csv, 3D-Clus, 15, 2.9
commons-csv, orig, 16, 1.2
commons-csv, 3-Proj, 16, 1.2
commons-csv, 3D-Clus, 16, 2.8
commons-csv, orig, 17, 1.3
commons-csv, 3-Proj, 17, 1.2
commons-csv, 3D-Clus, 17, 2.8
commons-csv, orig, 18, 1.3
commons-csv, 3-Proj, 18, 1.2
commons-csv, 3D-Clus, 18, 2.9
commons-csv, orig, 19, 1.3
commons-csv, 3-Proj, 19, 1.2
commons-csv, 3D-Clus, 19, 2.9
commons-csv, orig, 20, 1.3
commons-csv, 3-Proj, 20, 1.2
commons-csv, 3D-Clus, 20, 2.9
commons-csv, orig, 21, 1.2
commons-csv, 3-Proj, 21, 1.3
commons-csv, 3D-Clus, 21, 2.8
commons-csv, orig, 22, 1.3
commons-csv, 3-Proj, 22, 1.2
commons-csv, 3D-Clus, 22, 2.8
commons-csv, orig, 23, 1.3
commons-csv, 3-Proj, 23, 1.2
commons-csv, 3D-Clus, 23, 2.9
commons-csv, orig, 24, 1.3
commons-csv, 3-Proj, 24, 1.2
commons-csv, 3D-Clus, 24, 2.8
commons-csv, orig, 25, 1.2
commons-csv, 3-Proj, 25, 1.2
commons-csv, 3D-Clus, 25, 2.9
commons-csv, orig, 26, 1.3
commons-csv, 3-Proj, 26, 1.2
commons-csv, 3D-Clus, 26, 2.8
commons-csv, orig, 27, 1.3
commons-csv, 3-Proj, 27, 1.2
commons-csv, 3D-Clus, 27, 2.8
commons-csv, orig, 28, 1.3
commons-csv, 3-Proj, 28, 1.2
commons-csv, 3D-Clus, 28, 2.8
commons-csv, orig, 29, 1.3
commons-csv, 3-Proj, 29, 1.2
commons-csv, 3D-Clus, 29, 2.8
commons-cli, cs, 0, 39.7
commons-cli, orig, 0, 1.4
commons-cli, 3-Proj, 0, 1.3
commons-cli, 3D-Clus, 0, 3.2
commons-cli, orig, 1, 1.4
commons-cli, 3-Proj, 1, 1.3
commons-cli, 3D-Clus, 1, 3.2
commons-cli, orig, 2, 1.4
commons-cli, 3-Proj, 2, 1.3
commons-cli, 3D-Clus, 2, 3.1
commons-cli, orig, 3, 1.3
commons-cli, 3-Proj, 3, 1.3
commons-cli, 3D-Clus, 3, 3.2
commons-cli, orig, 4, 1.4
commons-cli, 3-Proj, 4, 1.3
commons-cli, 3D-Clus, 4, 3.2
commons-cli, orig, 5, 1.4
commons-cli, 3-Proj, 5, 1.3
commons-cli, 3D-Clus, 5, 3.2
commons-cli, orig, 6, 1.3
commons-cli, 3-Proj, 6, 1.3
commons-cli, 3D-Clus, 6, 3.2
commons-cli, orig, 7, 1.4
commons-cli, 3-Proj, 7, 1.3
commons-cli, 3D-Clus, 7, 3.2
commons-cli, orig, 8, 1.3
commons-cli, 3-Proj, 8, 1.3
commons-cli, 3D-Clus, 8, 3.2
commons-cli, orig, 9, 1.4
commons-cli, 3-Proj, 9, 1.3
commons-cli, 3D-Clus, 9, 3.3
commons-cli, orig, 10, 1.3
commons-cli, 3-Proj, 10, 1.3
commons-cli, 3D-Clus, 10, 3.2
commons-cli, orig, 11, 1.4
commons-cli, 3-Proj, 11, 1.3
commons-cli, 3D-Clus, 11, 3.2
commons-cli, orig, 12, 1.4
commons-cli, 3-Proj, 12, 1.3
commons-cli, 3D-Clus, 12, 3.3
commons-cli, orig, 13, 1.4
commons-cli, 3-Proj, 13, 1.3
commons-cli, 3D-Clus, 13, 3.2
commons-cli, orig, 14, 1.3
commons-cli, 3-Proj, 14, 1.3
commons-cli, 3D-Clus, 14, 3.3
commons-cli, orig, 15, 1.3
commons-cli, 3-Proj, 15, 1.3
commons-cli, 3D-Clus, 15, 3.1
commons-cli, orig, 16, 1.3
commons-cli, 3-Proj, 16, 1.3
commons-cli, 3D-Clus, 16, 3.2
commons-cli, orig, 17, 1.3
commons-cli, 3-Proj, 17, 1.3
commons-cli, 3D-Clus, 17, 3.2
commons-cli, orig, 18, 1.3
commons-cli, 3-Proj, 18, 1.3
commons-cli, 3D-Clus, 18, 3.2
commons-cli, orig, 19, 1.4
commons-cli, 3-Proj, 19, 1.3
commons-cli, 3D-Clus, 19, 3.3
commons-cli, orig, 20, 1.4
commons-cli, 3-Proj, 20, 1.3
commons-cli, 3D-Clus, 20, 3.3
commons-cli, orig, 21, 1.3
commons-cli, 3-Proj, 21, 1.3
commons-cli, 3D-Clus, 21, 3.1
commons-cli, orig, 22, 1.4
commons-cli, 3-Proj, 22, 1.3
commons-cli, 3D-Clus, 22, 3.2
commons-cli, orig, 23, 1.4
commons-cli, 3-Proj, 23, 1.3
commons-cli, 3D-Clus, 23, 3.2
commons-cli, orig, 24, 1.3
commons-cli, 3-Proj, 24, 1.3
commons-cli, 3D-Clus, 24, 3.1
commons-cli, orig, 25, 1.3
commons-cli, 3-Proj, 25, 1.3
commons-cli, 3D-Clus, 25, 3.1
commons-cli, orig, 26, 1.4
commons-cli, 3-Proj, 26, 1.3
commons-cli, 3D-Clus, 26, 3.2
commons-cli, orig, 27, 1.4
commons-cli, 3-Proj, 27, 1.3
commons-cli, 3D-Clus, 27, 3.1
commons-cli, orig, 28, 1.3
commons-cli, 3-Proj, 28, 1.3
commons-cli, 3D-Clus, 28, 3.2
commons-cli, orig, 29, 1.4
commons-cli, 3-Proj, 29, 1.3
commons-cli, 3D-Clus, 29, 3.2
google-auto-value, cs, 0, 106.7
google-auto-value, orig, 0, 4.8
google-auto-value, 3-Proj, 0, 4.7
google-auto-value, 3D-Clus, 0, 16.7
google-auto-value, orig, 1, 4.9
google-auto-value, 3-Proj, 1, 4.9
google-auto-value, 3D-Clus, 1, 16.8
google-auto-value, orig, 2, 4.8
google-auto-value, 3-Proj, 2, 4.7
google-auto-value, 3D-Clus, 2, 16.8
google-auto-value, orig, 3, 4.9
google-auto-value, 3-Proj, 3, 4.8
google-auto-value, 3D-Clus, 3, 16.8
google-auto-value, orig, 4, 4.9
google-auto-value, 3-Proj, 4, 4.7
google-auto-value, 3D-Clus, 4, 16.7
google-auto-value, orig, 5, 4.9
google-auto-value, 3-Proj, 5, 4.7
google-auto-value, 3D-Clus, 5, 16.9
google-auto-value, orig, 6, 4.9
google-auto-value, 3-Proj, 6, 4.7
google-auto-value, 3D-Clus, 6, 16.7
google-auto-value, orig, 7, 4.8
google-auto-value, 3-Proj, 7, 4.7
google-auto-value, 3D-Clus, 7, 17.4
google-auto-value, orig, 8, 4.9
google-auto-value, 3-Proj, 8, 4.7
google-auto-value, 3D-Clus, 8, 17.0
google-auto-value, orig, 9, 4.8
google-auto-value, 3-Proj, 9, 4.7
google-auto-value, 3D-Clus, 9, 17.0
google-auto-value, orig, 10, 4.9
google-auto-value, 3-Proj, 10, 4.8
google-auto-value, 3D-Clus, 10, 17.2
google-auto-value, orig, 11, 4.9
google-auto-value, 3-Proj, 11, 4.9
google-auto-value, 3D-Clus, 11, 16.8
google-auto-value, orig, 12, 4.9
google-auto-value, 3-Proj, 12, 4.7
google-auto-value, 3D-Clus, 12, 16.9
google-auto-value, orig, 13, 4.8
google-auto-value, 3-Proj, 13, 4.8
google-auto-value, 3D-Clus, 13, 16.9
google-auto-value, orig, 14, 4.9
google-auto-value, 3-Proj, 14, 4.8
google-auto-value, 3D-Clus, 14, 17.1
google-auto-value, orig, 15, 4.8
google-auto-value, 3-Proj, 15, 4.7
google-auto-value, 3D-Clus, 15, 17.2
google-auto-value, orig, 16, 4.8
google-auto-value, 3-Proj, 16, 4.8
google-auto-value, 3D-Clus, 16, 16.7
google-auto-value, orig, 17, 4.8
google-auto-value, 3-Proj, 17, 4.8
google-auto-value, 3D-Clus, 17, 16.8
google-auto-value, orig, 18, 4.9
google-auto-value, 3-Proj, 18, 4.8
google-auto-value, 3D-Clus, 18, 16.9
google-auto-value, orig, 19, 4.9
google-auto-value, 3-Proj, 19, 4.8
google-auto-value, 3D-Clus, 19, 18.1
google-auto-value, orig, 20, 4.9
google-auto-value, 3-Proj, 20, 4.7
google-auto-value, 3D-Clus, 20, 17.1
google-auto-value, orig, 21, 4.9
google-auto-value, 3-Proj, 21, 4.8
google-auto-value, 3D-Clus, 21, 16.8
google-auto-value, orig, 22, 4.8
google-auto-value, 3-Proj, 22, 4.7
google-auto-value, 3D-Clus, 22, 16.6
google-auto-value, orig, 23, 4.9
google-auto-value, 3-Proj, 23, 4.9
google-auto-value, 3D-Clus, 23, 17.0
google-auto-value, orig, 24, 4.9
google-auto-value, 3-Proj, 24, 4.7
google-auto-value, 3D-Clus, 24, 16.7
google-auto-value, orig, 25, 4.8
