timing, precision, reduction
3.4, 85.03, 0.132
3.4, 85.01, 0.132
3.2, 85.01, 0.132
3.2, 85.31, 0.132
3.4, 85.41, 0.132
3.2, 85.08, 0.132
3.3, 85.37, 0.132
3.6, 85.00, 0.132
3.5, 85.10, 0.132
3.3, 85.20, 0.132
3.2, 85.36, 0.132
3.6, 85.44, 0.132
3.4, 85.39, 0.132
3.3, 85.36, 0.132
3.3, 84.89, 0.132
3.3, 85.05, 0.132
3.3, 85.34, 0.132
3.2, 85.44, 0.132
3.3, 85.46, 0.132
3.2, 85.05, 0.132
3.2, 85.01, 0.132
3.2, 85.36, 0.132
3.2, 85.36, 0.132
3.2, 85.41, 0.132
3.2, 85.43, 0.132
3.2, 85.31, 0.132
3.2, 85.46, 0.132
3.2, 85.03, 0.132
3.2, 85.49, 0.132
3.5, 85.46, 0.132
