timing, precision, reduction
322.2, 80.585, 0.0816
320.8, 80.547, 0.0816
260.6, 80.601, 0.0816
272.6, 80.614, 0.0816
318.9, 80.556, 0.0816
282.8, 80.556, 0.0816
328.4, 80.574, 0.0816
350.9, 80.592, 0.0816
282.7, 80.585, 0.0816
299.1, 80.565, 0.0816
311.8, 80.554, 0.0816
271.4, 80.569, 0.0816
269.2, 80.572, 0.0816
294.3, 80.578, 0.0816
277.7, 80.554, 0.0816
277.4, 80.569, 0.0816
261.5, 80.558, 0.0816
263.8, 80.560, 0.0816
262.2, 80.551, 0.0816
261.7, 80.583, 0.0816
261.6, 80.576, 0.0816
261.9, 80.583, 0.0816
261.6, 80.547, 0.0816
261.7, 80.646, 0.0816
264.4, 80.565, 0.0816
272.5, 80.551, 0.0816
270.4, 80.551, 0.0816
270.3, 80.572, 0.0816
322.4, 80.563, 0.0816
324.9, 80.551, 0.0816
