timing, precision, reduction
3.0, 81.60, 0.139
2.9, 81.45, 0.139
2.9, 81.34, 0.139
2.9, 81.45, 0.139
3.1, 81.43, 0.139
3.0, 81.73, 0.139
3.0, 81.50, 0.139
3.0, 81.83, 0.139
3.2, 81.41, 0.139
2.9, 81.36, 0.139
2.9, 81.45, 0.139
3.1, 81.62, 0.139
2.9, 81.40, 0.139
2.9, 81.43, 0.139
2.9, 81.43, 0.139
2.9, 81.59, 0.139
2.9, 81.47, 0.139
2.9, 81.45, 0.139
2.9, 81.41, 0.139
2.9, 81.29, 0.139
2.9, 81.36, 0.139
2.9, 81.47, 0.139
2.9, 81.48, 0.139
2.9, 81.48, 0.139
2.9, 81.57, 0.139
2.9, 81.26, 0.139
2.9, 81.36, 0.139
2.9, 81.48, 0.139
2.9, 81.59, 0.139
3.2, 81.78, 0.139
