timing, precision, reduction
171.1, 85.244, 0.0990
171.4, 85.220, 0.0990
144.7, 85.202, 0.0990
146.5, 85.238, 0.0990
155.4, 85.250, 0.0990
152.7, 85.226, 0.0990
175.3, 85.185, 0.0990
164.9, 85.286, 0.0990
168.8, 85.232, 0.0990
150.3, 85.262, 0.0990
147.4, 85.262, 0.0990
148.7, 85.304, 0.0990
149.5, 85.202, 0.0990
150.9, 85.244, 0.0990
143.4, 85.202, 0.0990
155.9, 85.250, 0.0990
146.8, 85.286, 0.0990
146.2, 85.202, 0.0990
145.9, 85.244, 0.0990
145.4, 85.244, 0.0990
145.5, 85.202, 0.0990
144.3, 85.196, 0.0990
146.1, 85.167, 0.0990
145.1, 85.262, 0.0990
150.0, 85.244, 0.0990
145.4, 85.238, 0.0990
145.3, 85.310, 0.0990
145.3, 85.220, 0.0990
150.5, 85.155, 0.0990
166.0, 85.286, 0.0990
