timing, precision, reduction
242.9, 74.453, 0.0961
235.2, 74.534, 0.0961
197.3, 74.358, 0.0961
222.8, 74.429, 0.0961
198.6, 74.372, 0.0961
221.1, 74.481, 0.0961
247.2, 74.481, 0.0961
228.5, 74.397, 0.0961
227.2, 74.471, 0.0961
204.3, 74.390, 0.0961
226.5, 74.408, 0.0961
203.0, 74.327, 0.0961
202.9, 74.397, 0.0961
206.5, 74.443, 0.0961
206.4, 74.337, 0.0961
203.8, 74.372, 0.0961
197.4, 74.488, 0.0961
196.9, 74.243, 0.0961
198.2, 74.341, 0.0961
196.9, 74.439, 0.0961
195.9, 74.467, 0.0961
197.1, 74.429, 0.0961
196.1, 74.362, 0.0961
197.1, 74.341, 0.0961
198.2, 74.509, 0.0961
197.0, 74.478, 0.0961
197.4, 74.379, 0.0961
197.0, 74.429, 0.0961
241.7, 74.471, 0.0961
241.6, 74.337, 0.0961
