timing, precision, reduction
1.8, 82.20, 0.083
1.9, 82.20, 0.083
1.9, 82.20, 0.083
1.8, 82.19, 0.083
2.0, 82.20, 0.083
1.8, 82.19, 0.083
1.9, 82.20, 0.083
1.9, 82.19, 0.083
1.9, 82.19, 0.083
2.0, 82.19, 0.083
1.8, 82.19, 0.083
1.8, 82.18, 0.083
1.8, 82.19, 0.083
1.8, 82.18, 0.083
1.9, 82.18, 0.083
1.8, 82.18, 0.083
1.8, 82.18, 0.083
1.8, 82.19, 0.083
1.8, 82.18, 0.083
1.8, 82.19, 0.083
1.8, 82.19, 0.083
1.8, 82.15, 0.083
1.8, 82.17, 0.083
1.8, 82.17, 0.083
1.8, 82.19, 0.083
1.8, 82.20, 0.083
1.8, 82.19, 0.083
1.8, 82.21, 0.083
1.8, 82.20, 0.083
2.0, 82.20, 0.083
