timing, precision, reduction
2.3, 80.03, 0.153
2.3, 79.84, 0.153
2.3, 79.96, 0.153
2.3, 79.82, 0.153
2.5, 79.88, 0.153
2.3, 80.02, 0.153
2.5, 79.96, 0.153
2.4, 80.05, 0.153
2.5, 80.19, 0.153
2.4, 80.26, 0.153
2.3, 80.13, 0.153
2.3, 80.02, 0.153
2.3, 80.03, 0.153
2.3, 79.90, 0.153
2.3, 79.82, 0.153
2.3, 79.90, 0.153
2.5, 79.90, 0.153
2.3, 79.96, 0.153
2.3, 79.98, 0.153
2.3, 79.98, 0.153
2.3, 80.00, 0.153
2.3, 79.69, 0.153
2.3, 79.98, 0.153
2.3, 79.92, 0.153
2.3, 80.09, 0.153
2.3, 80.05, 0.153
2.3, 80.13, 0.153
2.3, 79.90, 0.153
2.3, 80.15, 0.153
2.3, 79.90, 0.153
