timing, precision, reduction
18.7, 86.070, 0.1280
17.1, 86.157, 0.1280
17.1, 86.128, 0.1280
17.5, 86.142, 0.1280
18.4, 86.056, 0.1280
17.4, 86.085, 0.1280
18.4, 86.085, 0.1280
17.7, 86.114, 0.1280
18.9, 86.171, 0.1280
17.4, 86.128, 0.1280
18.8, 86.099, 0.1280
17.8, 86.085, 0.1280
18.4, 86.128, 0.1280
17.3, 86.070, 0.1280
18.3, 86.142, 0.1280
17.2, 86.128, 0.1280
17.1, 86.056, 0.1280
17.1, 86.114, 0.1280
17.2, 86.128, 0.1280
17.1, 86.056, 0.1280
17.1, 86.099, 0.1280
17.2, 86.099, 0.1280
17.0, 86.027, 0.1280
17.1, 86.128, 0.1280
17.1, 86.114, 0.1280
17.2, 86.056, 0.1280
17.2, 86.142, 0.1280
17.1, 86.056, 0.1280
17.1, 86.128, 0.1280
18.3, 86.041, 0.1280
