timing, precision, reduction
61.1, 83.032, 0.1853
62.6, 83.046, 0.1853
54.8, 83.255, 0.1853
55.4, 83.213, 0.1853
54.6, 83.143, 0.1853
56.4, 83.046, 0.1853
60.0, 83.088, 0.1853
58.7, 83.115, 0.1853
56.5, 83.213, 0.1853
56.6, 83.060, 0.1853
55.2, 83.185, 0.1853
56.2, 82.962, 0.1853
55.9, 83.102, 0.1853
56.1, 83.046, 0.1853
60.4, 83.032, 0.1853
56.5, 83.102, 0.1853
55.2, 83.102, 0.1853
54.8, 83.255, 0.1853
55.1, 83.074, 0.1853
54.9, 83.088, 0.1853
55.0, 83.157, 0.1853
55.2, 83.102, 0.1853
55.2, 83.032, 0.1853
54.8, 83.088, 0.1853
55.0, 83.352, 0.1853
54.7, 83.157, 0.1853
55.1, 83.143, 0.1853
55.1, 83.032, 0.1853
55.4, 83.102, 0.1853
60.0, 83.088, 0.1853
