timing, precision, reduction
2.1, 88.84, 0.104
2.2, 88.92, 0.104
2.1, 88.87, 0.104
2.1, 88.86, 0.104
2.3, 88.90, 0.104
2.3, 88.87, 0.104
2.2, 88.88, 0.104
2.3, 88.86, 0.104
2.3, 88.92, 0.104
2.1, 88.93, 0.104
2.1, 88.87, 0.104
2.1, 88.85, 0.104
2.2, 88.87, 0.104
2.1, 88.88, 0.104
2.3, 88.91, 0.104
2.1, 88.86, 0.104
2.1, 88.83, 0.104
2.1, 88.83, 0.104
2.1, 88.86, 0.104
2.1, 88.87, 0.104
2.2, 88.96, 0.104
2.1, 88.95, 0.104
2.1, 88.83, 0.104
2.1, 88.88, 0.104
2.1, 88.96, 0.104
2.1, 88.98, 0.104
2.2, 88.92, 0.104
2.1, 88.86, 0.104
2.1, 88.81, 0.104
2.1, 88.92, 0.104
